Index,PDB Code,Class,Region
d1ix9a1,1ix9,all-a,A:1-90
d1pv0a_,1pv0,all-a,A:
d1rfya_,1rfy,all-a,A:
d1tjla1,1tjl,all-a,A:7-110
d1x4ta1,1x4t,all-a,A:7-86
d2a26a1,2a26,all-a,A:1-47
d2f6ma1,2f6m,all-a,A:322-385
d2f6mb1,2f6m,all-a,B:15-118
d2f66c1,2f66,all-a,C:142-206
d1z0pa1,1z0p,all-a,A:1-77
d1z0jb1,1z0j,all-a,B:734-784
d1z0kb1,1z0k,all-a,B:441-501
d2ca5a1,2ca5,all-a,A:20-78
d1ohzb_,1ohz,all-a,B:
d2b59b1,2b59,all-a,B:104-163
d1h9ea_,1h9e,all-a,A:
d1h9fa_,1h9f,all-a,A:
d2odgc1,2odg,all-a,C:2-47
d1jeqa1,1jeq,all-a,A:559-609
d1kcfa1,1kcf,all-a,A:3-38
d1h1js_,1h1j,all-a,S:
d1v66a_,1v66,all-a,A:
d1y02a1,1y02,all-a,A:71-114
d1zrja1,1zrj,all-a,A:1-37
d1a62a1,1a62,all-a,A:1-47
d1e7la1,1e7l,all-a,A:104-157
d1wija_,1wij,all-a,A:
d2a69e1,2a69,all-a,E:2-96
d1c75a_,1c75,all-a,A:
d1ctja_,1ctj,all-a,A:
d1c52a_,1c52,all-a,A:
d1ql3a_,1ql3,all-a,A:
d1e29a_,1e29,all-a,A:
d1ycca_,1ycc,all-a,A:
d1i8oa_,1i8o,all-a,A:
d1cota_,1cot,all-a,A:
d1h32b_,1h32,all-a,B:
d1cc5a_,1cc5,all-a,A:
d451ca_,451c,all-a,A:
d1gksa_,1gks,all-a,A:
d1dw0a_,1dw0,all-a,A:
d1gu2a_,1gu2,all-a,A:
d1wvec1,1wve,all-a,C:602-675
d2c8sa1,2c8s,all-a,A:24-172
d1qksa1,1qks,all-a,A:9-135
d1kb0a1,1kb0,all-a,A:579-675
d1kv9a1,1kv9,all-a,A:561-664
d1ppjd1,1ppj,all-a,D:1-195
d1m70a1,1m70,all-a,A:1-92
d1m70a2,1m70,all-a,A:93-190
d1h1oa1,1h1o,all-a,A:12-93
d1h1oa2,1h1o,all-a,A:94-183
d1fcdc1,1fcd,all-a,C:1-80
d1fcdc2,1fcd,all-a,C:81-174
d1h32a1,1h32,all-a,A:1-150
d1h32a2,1h32,all-a,A:151-261
d1iqca1,1iqc,all-a,A:1-150
d1iqca2,1iqc,all-a,A:151-308
d1pbya1,1pby,all-a,A:1-85
d1pbya2,1pby,all-a,A:86-165
d1jmxa1,1jmx,all-a,A:2-85
d1p7ia_,1p7i,all-a,A:
d1akha_,1akh,all-a,A:
d1k61a_,1k61,all-a,A:
d1lfba_,1lfb,all-a,A:
d1e3oc1,1e3o,all-a,C:104-160
d1pufa_,1puf,all-a,A:
d1pufb_,1puf,all-a,B:
d1bw5a_,1bw5,all-a,A:
d1qrya_,1qry,all-a,A:
d1fjla_,1fjl,all-a,A:
d1mija_,1mij,all-a,A:
d1uhsa_,1uhs,all-a,A:
d1wh7a_,1wh7,all-a,A:
d2ecca1,2ecc,all-a,A:1-76
d1s7ea1,1s7e,all-a,A:103-152
d1x41a1,1x41,all-a,A:8-54
d1x2ma1,1x2m,all-a,A:8-59
d2e1oa1,2e1o,all-a,A:8-64
d1x2na1,1x2n,all-a,A:6-67
d1x58a1,1x58,all-a,A:8-56
d2cufa1,2cuf,all-a,A:8-89
d1hcra_,1hcr,all-a,A:
d1gdta1,1gdt,all-a,A:141-183
d1tc3c_,1tc3,all-a,C:
d1u78a2,1u78,all-a,A:55-104
d2ezla_,2ezl,all-a,A:
d2ezia_,2ezi,all-a,A:
d1gvda_,1gvd,all-a,A:
d1gv2a2,1gv2,all-a,A:144-190
d1fexa_,1fex,all-a,A:
d1ofcx1,1ofc,all-a,X:799-850
d1ug2a_,1ug2,all-a,A:
d1wgxa_,1wgx,all-a,A:
d2crga1,2crg,all-a,A:8-64
d2iw5b1,2iw5,all-a,B:376-440
d2cjja1,2cjj,all-a,A:8-70
d2cqqa1,2cqq,all-a,A:8-66
d2cqra1,2cqr,all-a,A:7-66
d1xc5a1,1xc5,all-a,A:413-480
d2cu7a1,2cu7,all-a,A:8-72
d1ofcx2,1ofc,all-a,X:851-978
d1irza_,1irz,all-a,A:
d1w0ua_,1w0u,all-a,A:
d1k78a1,1k78,all-a,A:19-81
d1k78a2,1k78,all-a,A:82-142
d1igna1,1ign,all-a,A:360-445
d1hlva1,1hlv,all-a,A:1-66
d1hlva2,1hlv,all-a,A:67-131
d1iufa1,1iuf,all-a,A:-2-75
d1iufa2,1iuf,all-a,A:76-141
d1etxa_,1etx,all-a,A:
d1ntca_,1ntc,all-a,A:
d1umqa_,1umq,all-a,A:
d1g2ha_,1g2h,all-a,A:
d1bl0a1,1bl0,all-a,A:9-62
d1bl0a2,1bl0,all-a,A:63-124
d1d5ya2,1d5y,all-a,A:57-121
d2o7oa1,2o7o,all-a,A:2-67
d1jt6a1,1jt6,all-a,A:2-72
d1pb6a1,1pb6,all-a,A:14-85
d1vi0a1,1vi0,all-a,A:6-77
d1rkta1,1rkt,all-a,A:2-82
d1t56a1,1t56,all-a,A:22-94
d1ui5a1,1ui5,all-a,A:5-75
d1t33a1,1t33,all-a,A:1-88
d1sgma1,1sgm,all-a,A:5-77
d2fq4a1,2fq4,all-a,A:9-77
d2g3ba1,2g3b,all-a,A:2-73
d2id3a1,2id3,all-a,A:13-80
d1v7ba1,1v7b,all-a,A:1-74
d1z0xa1,1z0x,all-a,A:4-71
d2i10a1,2i10,all-a,A:10-78
d2fd5a1,2fd5,all-a,A:1-76
d2np5a1,2np5,all-a,A:9-77
d1zk8a1,1zk8,all-a,A:6-77
d2gfna1,2gfn,all-a,A:4-80
d2g7ga1,2g7g,all-a,A:9-73
d2fx0a1,2fx0,all-a,A:4-76
d2g7la1,2g7l,all-a,A:16-83
d2gena1,2gen,all-a,A:6-75
d2d6ya1,2d6y,all-a,A:7-74
d2fbqa1,2fbq,all-a,A:2-80
d1z77a1,1z77,all-a,A:1-75
d2g7sa1,2g7s,all-a,A:3-76
d1rr7a_,1rr7,all-a,A:
d2coba1,2cob,all-a,A:8-70
d2ga1a1,2ga1,all-a,A:1-102
d2ao9a1,2ao9,all-a,A:13-132
d2fq3a1,2fq3,all-a,A:311-395
d2aqea1,2aqe,all-a,A:2-90
d2coma1,2com,all-a,A:8-118
d1sfea1,1sfe,all-a,A:93-176
d1mgta1,1mgt,all-a,A:89-169
d1kqqa_,1kqq,all-a,A:
d1ig6a_,1ig6,all-a,A:
d1kkxa_,1kkx,all-a,A:
d1ryua_,1ryu,all-a,A:
d1biaa1,1bia,all-a,A:1-63
d1j5ya1,1j5y,all-a,A:3-67
d1jhfa1,1jhf,all-a,A:2-72
d1aoya_,1aoy,all-a,A:
d1b4aa1,1b4a,all-a,A:4-78
d2dt5a1,2dt5,all-a,A:4-77
d1i5za1,1i5z,all-a,A:138-206
d1ft9a1,1ft9,all-a,A:134-213
d2bgca1,2bgc,all-a,A:138-237
d2gaua1,2gau,all-a,A:152-232
d1zyba1,1zyb,all-a,A:148-220
d2coha1,2coh,all-a,A:118-199
d2cyya1,2cyy,all-a,A:5-64
d2cg4a1,2cg4,all-a,A:4-66
d2cfxa1,2cfx,all-a,A:1-63
d1r1ta_,1r1t,all-a,A:
d1r1ua_,1r1u,all-a,A:
d1y0ua_,1y0u,all-a,A:
d1u2wa1,1u2w,all-a,A:12-119
d1mkma1,1mkm,all-a,A:1-75
d1jgsa_,1jgs,all-a,A:
d1lnwa_,1lnw,all-a,A:
d1lj9a_,1lj9,all-a,A:
d1hsja1,1hsj,all-a,A:373-487
d1p4xa1,1p4x,all-a,A:1-125
d1p4xa2,1p4x,all-a,A:126-250
d2frha1,2frh,all-a,A:102-216
d1s3ja_,1s3j,all-a,A:
d1ub9a_,1ub9,all-a,A:
d2etha1,2eth,all-a,A:1-140
d2hr3a1,2hr3,all-a,A:2-146
d2fbia1,2fbi,all-a,A:5-140
d1z91a1,1z91,all-a,A:8-144
d2fbha1,2fbh,all-a,A:8-144
d2fxaa1,2fxa,all-a,A:6-167
d2a61a1,2a61,all-a,A:5-143
d2fbka1,2fbk,all-a,A:8-179
d1ku9a_,1ku9,all-a,A:
d1p6ra_,1p6r,all-a,A:
d1sd4a_,1sd4,all-a,A:
d1hw1a1,1hw1,all-a,A:5-78
d1v4ra1,1v4r,all-a,A:1-100
d1o57a1,1o57,all-a,A:2-74
d1bm9a_,1bm9,all-a,A:
d1ixca1,1ixc,all-a,A:1-89
d2esna1,2esn,all-a,A:3-91
d1b9ma1,1b9m,all-a,A:-1-126
d1bjaa_,1bja,all-a,A:
d1q1ha_,1q1h,all-a,A:
d1mzba_,1mzb,all-a,A:
d1repc1,1rep,all-a,C:15-143
d1repc2,1rep,all-a,C:144-246
d1hkqa_,1hkq,all-a,A:
d1in4a1,1in4,all-a,A:255-329
d1fnna1,1fnn,all-a,A:277-388
d1w5sa1,1w5s,all-a,A:300-409
d2fnaa1,2fna,all-a,A:284-356
d1oywa1,1oyw,all-a,A:407-516
d2axla1,2axl,all-a,A:1-144
d1ldda_,1ldd,all-a,A:
d1ldja1,1ldj,all-a,A:687-776
d1lvaa1,1lva,all-a,A:377-437
d1lvaa2,1lva,all-a,A:438-510
d1lvaa3,1lva,all-a,A:511-574
d1lvaa4,1lva,all-a,A:575-634
d2foka1,2fok,all-a,A:5-143
d2foka2,2fok,all-a,A:144-286
d2foka3,2fok,all-a,A:287-386
d1t0fa1,1t0f,all-a,A:169-268
d1fp1d1,1fp1,all-a,D:19-128
d1fp2a1,1fp2,all-a,A:8-108
d1qzza1,1qzz,all-a,A:10-101
d1hsta_,1hst,all-a,A:
d1ussa_,1uss,all-a,A:
d1d5va_,1d5v,all-a,A:
d2a07f1,2a07,all-a,F:503-584
d1bbya_,1bby,all-a,A:
d1i27a_,1i27,all-a,A:
d1z1da1,1z1d,all-a,A:202-270
d1fsha_,1fsh,all-a,A:
d1o7fa1,1o7f,all-a,A:180-321
d1w4ma_,1w4m,all-a,A:
d1v3fa_,1v3f,all-a,A:
d1cf7a_,1cf7,all-a,A:
d1cf7b_,1cf7,all-a,B:
d1d8ja_,1d8j,all-a,A:
d1xmka1,1xmk,all-a,A:294-366
d1qbja_,1qbj,all-a,A:
d1j75a_,1j75,all-a,A:
d1oyia_,1oyi,all-a,A:
d1sfua_,1sfu,all-a,A:
d1dp7p_,1dp7,all-a,P:
d1ka8a_,1ka8,all-a,A:
d1gvja_,1gvj,all-a,A:
d1puee_,1pue,all-a,E:
d1hbxg_,1hbx,all-a,G:
d1yo5c1,1yo5,all-a,C:247-334
d1hksa_,1hks,all-a,A:
d2htsa_,2hts,all-a,A:
d2irfg_,2irf,all-a,G:
d1t2ka_,1t2k,all-a,A:
d1pp7u_,1pp7,all-a,U:
d2isya1,2isy,all-a,A:2-64
d1on2a1,1on2,all-a,A:2-62
d1ucra_,1ucr,all-a,A:
d1zh5a1,1zh5,all-a,A:5-103
d1s29a_,1s29,all-a,A:
d2cqka1,2cqk,all-a,A:43-130
d1xgsa1,1xgs,all-a,A:195-271
d1b6aa1,1b6a,all-a,A:375-448
d1ufma_,1ufm,all-a,A:
d1wi9a_,1wi9,all-a,A:
d1tbxa_,1tbx,all-a,A:
d1r7ja_,1r7j,all-a,A:
d1sfxa_,1sfx,all-a,A:
d2d1ha1,2d1h,all-a,A:1-109
d1stza1,1stz,all-a,A:14-100
d1wlqc_,1wlq,all-a,C:
d1rz4a1,1rz4,all-a,A:132-216
d1u5ta1,1u5t,all-a,A:20-164
d1u5ta2,1u5t,all-a,A:165-232
d1u5tb1,1u5t,all-a,B:396-489
d1u5tb2,1u5t,all-a,B:490-564
d1xb4a1,1xb4,all-a,A:2-125
d1xb4a2,1xb4,all-a,A:126-199
d1ylfa1,1ylf,all-a,A:5-142
d1zara1,1zar,all-a,A:2-90
d1ulya_,1uly,all-a,A:
d1wj5a_,1wj5,all-a,A:
d1t6sa1,1t6s,all-a,A:1-85
d1t6sa2,1t6s,all-a,A:86-162
d1xmaa_,1xma,all-a,A:
d1yg2a_,1yg2,all-a,A:
d2esha1,2esh,all-a,A:4-117
d1xn7a_,1xn7,all-a,A:
d2hoea1,2hoe,all-a,A:10-71
d1z05a1,1z05,all-a,A:10-80
d2p4wa1,2p4w,all-a,A:1-194
d1t98a1,1t98,all-a,A:8-118
d2b0la1,2b0l,all-a,A:167-257
d2j5oa1,2j5o,all-a,A:742-811
d2fb1a1,2fb1,all-a,A:150-225
d2fmla1,2fml,all-a,A:205-268
d2fswa1,2fsw,all-a,A:3-104
d2f2ea1,2f2e,all-a,A:5-146
d1z7ua1,1z7u,all-a,A:1-108
d1yyva1,1yyv,all-a,A:9-122
d1opca_,1opc,all-a,A:
d1kgsa1,1kgs,all-a,A:124-225
d1gxqa_,1gxq,all-a,A:
d1p2fa1,1p2f,all-a,A:121-217
d2ff4a1,2ff4,all-a,A:10-104
d1ys7a1,1ys7,all-a,A:128-233
d1fsea_,1fse,all-a,A:
d1l3la1,1l3l,all-a,A:170-234
d1je8a_,1je8,all-a,A:
d1p4wa_,1p4w,all-a,A:
d1yioa1,1yio,all-a,A:131-200
d1fc3a_,1fc3,all-a,A:
d1jhga_,1jhg,all-a,A:
d1l8qa1,1l8q,all-a,A:290-399
d1j1va_,1j1v,all-a,A:
d1mmsa1,1mms,all-a,A:71-140
d1yhqi1,1yhq,all-a,I:66-135
d1j5er_,1j5e,all-a,R:
d1e3ha1,1e3h,all-a,A:263-345
d1whua_,1whu,all-a,A:
d1k6ya1,1k6y,all-a,A:1-46
d1twfj_,1twf,all-a,J:
d1ku2a1,1ku2,all-a,A:273-332
d1rp3a1,1rp3,all-a,A:87-163
d1ku3a_,1ku3,all-a,A:
d1or7a1,1or7,all-a,A:120-187
d1rp3a2,1rp3,all-a,A:164-234
d1xsva_,1xsv,all-a,A:
d1r71a_,1r71,all-a,A:
d1vz0a1,1vz0,all-a,A:116-208
d1rq6a_,1rq6,all-a,A:
d2cqna1,2cqn,all-a,A:743-806
d1uzca_,1uzc,all-a,A:
d1a6qa1,1a6q,all-a,A:297-368
d1s7za_,1s7z,all-a,A:
d1q1va_,1q1v,all-a,A:
d1uj8a1,1uj8,all-a,A:13-76
d1cuka1,1cuk,all-a,A:156-203
d1bvsa1,1bvs,all-a,A:148-203
d1ixsa_,1ixs,all-a,A:
d1oqya1,1oqy,all-a,A:160-200
d1dv0a_,1dv0,all-a,A:
d1q02a_,1q02,all-a,A:
d1pgya_,1pgy,all-a,A:
d1ttea1,1tte,all-a,A:161-215
d1vdla_,1vdl,all-a,A:
d1vega_,1veg,all-a,A:
d1veka_,1vek,all-a,A:
d1wiva_,1wiv,all-a,A:
d1vg5a_,1vg5,all-a,A:
d1wgna_,1wgn,all-a,A:
d2bwba1,2bwb,all-a,A:328-371
d2daha1,2dah,all-a,A:8-48
d1ylaa1,1yla,all-a,A:157-198
d2cpwa1,2cpw,all-a,A:8-58
d1wj7a1,1wj7,all-a,A:8-98
d2dkla1,2dkl,all-a,A:8-79
d2crna1,2crn,all-a,A:8-58
d2cp8a1,2cp8,all-a,A:8-48
d2cosa1,2cos,all-a,A:8-48
d1efub3,1efu,all-a,B:1-54
d1xb2b1,1xb2,all-a,B:56-111
d1oaia_,1oai,all-a,A:
d1v92a_,1v92,all-a,A:
d1mn3a_,1mn3,all-a,A:
d1otra_,1otr,all-a,A:
d1wgla_,1wgl,all-a,A:
d2di0a1,2di0,all-a,A:8-70
d1nvma1,1nvm,all-a,A:291-341
d1sr9a1,1sr9,all-a,A:437-491
d1rqba1,1rqb,all-a,A:307-474
d1auaa1,1aua,all-a,A:4-96
d1r5la1,1r5l,all-a,A:25-90
d1olma1,1olm,all-a,A:1-75
d1enwa_,1enw,all-a,A:
d1eija_,1eij,all-a,A:
d2crua1,2cru,all-a,A:8-112
d1t95a1,1t95,all-a,A:87-161
d1ufza_,1ufz,all-a,A:
d1t3ta1,1t3t,all-a,A:153-220
d1j5em_,1j5e,all-a,M:
d1r2za1,1r2z,all-a,A:135-228
d1tdza1,1tdz,all-a,A:132-219
d1k3xa1,1k3x,all-a,A:125-213
d1tdha1,1tdh,all-a,A:132-246
d2hkja1,2hkj,all-a,A:229-306
d1jjcb2,1jjc,all-a,B:400-474
d1xpaa1,1xpa,all-a,A:134-210
d1l8ra_,1l8r,all-a,A:
d1sbxa_,1sbx,all-a,A:
d1r8ea1,1r8e,all-a,A:3-120
d1r8da_,1r8d,all-a,A:
d1q06a_,1q06,all-a,A:
d1q08a_,1q08,all-a,A:
d1j9ia_,1j9i,all-a,A:
d1qpma_,1qpm,all-a,A:
d1tnsa_,1tns,all-a,A:
d1rh6a_,1rh6,all-a,A:
d1nd9a_,1nd9,all-a,A:
d2spca_,2spc,all-a,A:
d1u5pa1,1u5p,all-a,A:1662-1771
d1u5pa2,1u5p,all-a,A:1772-1872
d1cuna2,1cun,all-a,A:116-219
d1owaa_,1owa,all-a,A:
d1s35a1,1s35,all-a,A:1063-1168
d1s35a2,1s35,all-a,A:1169-1273
d1quua1,1quu,all-a,A:1-124
d1quua2,1quu,all-a,A:125-248
d1hcia1,1hci,all-a,A:272-396
d1hcia4,1hci,all-a,A:633-746
d2e2aa_,2e2a,all-a,A:
d1chua1,1chu,all-a,A:423-533
d1neka1,1nek,all-a,A:451-588
d1kf6a1,1kf6,all-a,A:443-576
d2bs2a1,2bs2,all-a,A:458-655
d1jnra1,1jnr,all-a,A:503-643
d1g73a_,1g73,all-a,A:
d1hx1b_,1hx1,all-a,B:
d1t7sa_,1t7s,all-a,A:
d1m62a_,1m62,all-a,A:
d1ugoa_,1ugo,all-a,A:
d1j2jb_,1j2j,all-a,B:
d1o3xa_,1o3x,all-a,A:
d1hf8a1,1hf8,all-a,A:150-281
d1qsda_,1qsd,all-a,A:
d1h7ca_,1h7c,all-a,A:
d1j5et_,1j5e,all-a,T:
d1rrza_,1rrz,all-a,A:
d1z8ua1,1z8u,all-a,A:2-91
d1sumb_,1sum,all-a,B:
d1t72a_,1t72,all-a,A:
d1xwma_,1xwm,all-a,A:
d1vcta1,1vct,all-a,A:9-107
d1vp7a_,1vp7,all-a,A:
d1wfda_,1wfd,all-a,A:
d1yxra1,1yxr,all-a,A:1-77
d1xdpa1,1xdp,all-a,A:2-106
d2o8ra1,2o8r,all-a,A:4-112
d2crba1,2crb,all-a,A:8-90
d1lp1a_,1lp1,all-a,A:
d1tf0b_,1tf0,all-a,B:
d1xvha1,1xvh,all-a,A:3-72
d1xvha2,1xvh,all-a,A:73-128
d1gvna_,1gvn,all-a,A:
d1k1xa1,1k1x,all-a,A:311-384
d1qwna1,1qwn,all-a,A:412-522
d1ufaa1,1ufa,all-a,A:413-517
d2b5dx1,2b5d,all-a,X:415-528
d1oksa_,1oks,all-a,A:
d1r4ga_,1r4g,all-a,A:
d1nu9c1,1nu9,all-a,C:1-145
d1nu9c2,1nu9,all-a,C:146-281
d1dkza1,1dkz,all-a,A:507-603
d1ud0a_,1ud0,all-a,A:
d1u00a1,1u00,all-a,A:504-615
d1r8ia_,1r8i,all-a,A:
d1r5ea_,1r5e,all-a,A:
d2ahma1,2ahm,all-a,A:6-78
d2gf4a1,2gf4,all-a,A:1-89
d1w4ha1,1w4h,all-a,A:126-170
d1w85i_,1w85,all-a,I:
d1sg7a1,1sg7,all-a,A:22-96
d2erla_,2erl,all-a,A:
d1erda_,1erd,all-a,A:
d1hd6a_,1hd6,all-a,A:
d1x9ba_,1x9b,all-a,A:
d1hb6a_,1hb6,all-a,A:
d1hbka_,1hbk,all-a,A:
d1gg3a1,1gg3,all-a,A:82-187
d1h4ra1,1h4r,all-a,A:104-214
d1mixa1,1mix,all-a,A:195-308
d2al6a1,2al6,all-a,A:131-253
d1kdxa_,1kdx,all-a,A:
d2fcwa1,2fcw,all-a,A:216-320
d1lrea_,1lre,all-a,A:
d1yu5x1,1yu5,all-a,X:10-76
d1ujsa_,1ujs,all-a,A:
d2diia1,2dii,all-a,A:8-55
d1x3aa1,1x3a,all-a,A:8-94
d1tbaa_,1tba,all-a,A:
d1aila_,1ail,all-a,A:
d1xeqa1,1xeq,all-a,A:15-103
d1a32a_,1a32,all-a,A:
d1r6ta1,1r6t,all-a,A:7-60
d1ijya_,1ijy,all-a,A:
d2enda_,2end,all-a,A:
d2lisa_,2lis,all-a,A:
d1gaka_,1gak,all-a,A:
d1lbua1,1lbu,all-a,A:1-83
d2bgxa1,2bgx,all-a,A:180-260
d1su3a1,1su3,all-a,A:32-98
d1l6ja1,1l6j,all-a,A:29-105
d1ckta_,1ckt,all-a,A:
d1j3da_,1j3d,all-a,A:
d1qrva_,1qrv,all-a,A:
d1gt0d_,1gt0,all-a,D:
d2lefa_,2lef,all-a,A:
d1k99a_,1k99,all-a,A:
d1l8ya_,1l8y,all-a,A:
d1v64a_,1v64,all-a,A:
d1wgfa_,1wgf,all-a,A:
d1tzya_,1tzy,all-a,A:
d1tzyb_,1tzy,all-a,B:
d1tzyc_,1tzy,all-a,C:
d2huec1,2hue,all-a,C:20-101
d1b67a_,1b67,all-a,A:
d1f1ea_,1f1e,all-a,A:
d1tafa_,1taf,all-a,A:
d1tafb_,1taf,all-a,B:
d1bh9a_,1bh9,all-a,A:
d1bh9b_,1bh9,all-a,B:
d1h3oa_,1h3o,all-a,A:
d1h3ob_,1h3o,all-a,B:
d1jfia_,1jfi,all-a,A:
d1jfib_,1jfi,all-a,B:
d1n1ja_,1n1j,all-a,A:
d1n1jb_,1n1j,all-a,B:
d1q9ca_,1q9c,all-a,A:
d2bykb1,2byk,all-a,B:11-99
d2byka1,2byk,all-a,A:29-100
d1r4va_,1r4v,all-a,A:
d1wwia1,1wwi,all-a,A:1-148
d1fpoa2,1fpo,all-a,A:77-171
d1eexg_,1eex,all-a,G:
d1mtyg_,1mty,all-a,G:
d1om2a_,1om2,all-a,A:
d1jw2a_,1jw2,all-a,A:
d2gboa1,2gbo,all-a,A:1-82
d1m1eb_,1m1e,all-a,B:
d2idob1,2ido,all-a,B:2-76
d1gs9a_,1gs9,all-a,A:
d2liga_,2lig,all-a,A:
d256ba_,256b,all-a,A:
d2ccya_,2ccy,all-a,A:
d1bbha_,1bbh,all-a,A:
d1e85a_,1e85,all-a,A:
d1cpqa_,1cpq,all-a,A:
d1mqva_,1mqv,all-a,A:
d1s05a_,1s05,all-a,A:
d2hmza_,2hmz,all-a,A:
d1ei7a_,1ei7,all-a,A:
d1cgme_,1cgm,all-a,E:
d3fapb_,3fap,all-a,B:
d1dova_,1dov,all-a,A:
d1h6ga1,1h6g,all-a,A:377-507
d1h6ga2,1h6g,all-a,A:508-631
d1qkra_,1qkr,all-a,A:
d1t01a1,1t01,all-a,A:1-125
d1t01a2,1t01,all-a,A:126-252
d1st6a3,1st6,all-a,A:253-371
d1st6a4,1st6,all-a,A:372-488
d1st6a5,1st6,all-a,A:489-646
d1st6a6,1st6,all-a,A:647-718
d1st6a7,1st6,all-a,A:719-855
d2b0ha1,2b0h,all-a,A:1838-1973
d1k04a_,1k04,all-a,A:
d1nzea_,1nze,all-a,A:
d2a0ba_,2a0b,all-a,A:
d1c02a_,1c02,all-a,A:
d1yvia1,1yvi,all-a,A:2-143
d1i5na_,1i5n,all-a,A:
d1tqga_,1tqg,all-a,A:
d1sr2a_,1sr2,all-a,A:
d1y6da_,1y6d,all-a,A:
d1he1a_,1he1,all-a,A:
d1g4us1,1g4u,all-a,S:167-296
d1hy5a_,1hy5,all-a,A:
d1f1ma_,1f1m,all-a,A:
d1orja_,1orj,all-a,A:
d1vh6a_,1vh6,all-a,A:
d1ls1a1,1ls1,all-a,A:1-88
d1j8mf1,1j8m,all-a,F:3-86
d1okkd1,1okk,all-a,D:21-78
d1vmaa1,1vma,all-a,A:1-81
d1wgwa_,1wgw,all-a,A:
d1jr8a_,1jr8,all-a,A:
d1oqca_,1oqc,all-a,A:
d1nlxa_,1nlx,all-a,A:
d1l3pa_,1l3p,all-a,A:
d1joga_,1jog,all-a,A:
d1wtya_,1wty,all-a,A:
d1o3ua_,1o3u,all-a,A:
d1knya1,1kny,all-a,A:126-253
d1v4aa1,1v4a,all-a,A:287-437
d1gm5a1,1gm5,all-a,A:7-105
d1v74b_,1v74,all-a,B:
d1t6ua_,1t6u,all-a,A:
d1szia_,1szi,all-a,A:
d1ug7a_,1ug7,all-a,A:
d2huja1,2huj,all-a,A:1-120
d2etsa1,2ets,all-a,A:1-110
d2im8a1,2im8,all-a,A:1-123
d2ap3a1,2ap3,all-a,A:12-196
d2j9ua1,2j9u,all-a,A:148-241
d1h99a1,1h99,all-a,A:54-168
d1h99a2,1h99,all-a,A:169-275
d1lkoa1,1lko,all-a,A:2-147
d1nnqa1,1nnq,all-a,A:2-134
d1j30a_,1j30,all-a,A:
d1vjxa_,1vjx,all-a,A:
d1nf4a_,1nf4,all-a,A:
d2fkza1,2fkz,all-a,A:1-154
d1euma_,1eum,all-a,A:
d1vlga_,1vlg,all-a,A:
d1jiga_,1jig,all-a,A:
