Index,PDB Code,Class,Region
d2pjqa1,2pjq,all-a,A:1-215
d2qyla1,2qyl,all-a,A:153-485
d3bxda1,3bxd,all-a,A:28-285
d3cuma1,3cum,all-a,A:163-296
d1yqga1,1yqg,all-a,A:153-263
d2i76a1,2i76,all-a,A:155-257
d2pv7a1,2pv7,all-a,A:244-371
d2p0va1,2p0v,all-a,A:39-481
d2jg0a1,2jg0,all-a,A:37-547
d2h6hb1,2h6h,all-a,B:515-924
d2g0da1,2g0d,all-a,A:7-415
d3bena1,3ben,all-a,A:4-457
d3czha1,3czh,all-a,A:40-502
d2bo3a1,2bo3,all-a,A:1-93
d2o35a1,2o35,all-a,A:2-80
d2q4pa1,2q4p,all-a,A:22-134
d2ozbb1,2ozb,all-a,B:85-333
d2i9ca1,2i9c,all-a,A:3-123
d3dpya1,3dpy,all-a,A:55-377
d2o8pa1,2o8p,all-a,A:8-227
d3efza1,3efz,all-a,A:46-268
d2grma2,2grm,all-a,A:70-315
d2i6ha1,2i6h,all-a,A:1-179
d3cgha1,3cgh,all-a,A:31-537
d3ejna1,3ejn,all-a,A:32-490
d3ckca1,3ckc,all-a,A:42-551
d2ooea1,2ooe,all-a,A:21-549
d2hr2a1,2hr2,all-a,A:2-157
d2hyec2,2hye,all-a,C:55-401
d2ouxa1,2oux,all-a,A:6-135
d2yvxa1,2yvx,all-a,A:7-131
d3c07a2,3c07,all-a,A:90-235
d2hyja2,2hyj,all-a,A:83-200
d2oi8a2,2oi8,all-a,A:87-216
d2o7ta2,2o7t,all-a,A:79-188
d2iu5a2,2iu5,all-a,A:72-180
d2hkua2,2hku,all-a,A:88-208
d2ovrb1,2ovr,all-a,B:2263-2364
d2p4ya1,2p4y,all-a,A:205-477
d3d24a1,3d24,all-a,A:194-420
d2vrha1,2vrh,all-a,A:248-431
d2q80a1,2q80,all-a,A:6-296
d2o9xa1,2o9x,all-a,A:1-153
d2idga1,2idg,all-a,A:1-160
d2q0ta1,2q0t,all-a,A:1-257
d2pfxa1,2pfx,all-a,A:1-190
d2ouwa1,2ouw,all-a,A:1-134
d3cr3a1,3cr3,all-a,A:1-192
d3bzka3,3bzk,all-a,A:1-324
d2o8sa1,2o8s,all-a,A:54-278
d2ebfx1,2ebf,all-a,X:575-874
d2hxja1,2hxj,all-a,A:3-118
d2c52b1,2c52,all-a,B:303-353
d1vqo21,1vqo,all-a,2:1-49
d2fo1d1,2fo1,all-a,D:52-114
d2es4d1,2es4,all-a,D:53-332
d2qadd1,2qad,all-b,D:1-113
d1zmya1,1zmy,all-b,A:1-133
d1u3ha1,1u3h,all-b,A:2-116
d2f53d1,2f53,all-b,D:1-114
d1ypzf1,1ypz,all-b,F:1-120
d1ypze1,1ypz,all-b,E:1-119
d2atpb1,2atp,all-b,B:1-115
d1yjdc1,1yjd,all-b,C:1-118
d2crya1,2cry,all-b,A:8-122
d2fd6l2,2fd6,all-b,L:107-214
d2dd8l2,2dd8,all-b,L:109-213
d2v7hb1,2v7h,all-b,B:111-219
d2agjh2,2agj,all-b,H:121-226
d3c2sa2,3c2s,all-b,A:340-445
d2qejb2,2qej,all-b,B:343-450
d2f54d2,2f54,all-b,D:115-205
d2bnub2,2bnu,all-b,B:114-242
d1ypzf2,1ypz,all-b,F:121-230
d1ypze2,1ypz,all-b,E:120-207
d1zvsa1,1zvs,all-b,A:182-278
d2p24a1,2p24,all-b,A:82-181
d2nnab1,2nna,all-b,B:93-190
d2oz4a2,2oz4,all-b,A:186-282
d3d2ud2,3d2u,all-b,D:98-198
d3b5ha1,3b5h,all-b,A:103-203
d3b5ha2,3b5h,all-b,A:23-102
d2fhfa1,2fhf,all-b,A:288-402
d2fhfa2,2fhf,all-b,A:163-287
d2v33a1,2v33,all-b,A:293-382
d2f15a1,2f15,all-b,A:75-163
d2qlvb1,2qlv,all-b,B:161-247
d2q0zx2,2q0z,all-b,X:209-322
d3es6b1,3es6,all-b,B:1-118
d2c4fu1,2c4f,all-b,U:91-210
d3csba1,3csb,all-b,A:375-467
d2jixb2,2jix,all-b,B:117-224
d3d48r1,3d48,all-b,R:2-100
d3d48r2,3d48,all-b,R:101-204
d3bplc2,3bpl,all-b,C:130-226
d2dtge1,2dtg,all-b,E:808-909
d2dtge2,2dtg,all-b,E:593-807
d2dtge3,2dtg,all-b,E:468-592
d2vzsa1,2vzs,all-b,A:226-335
d2vzsa2,2vzs,all-b,A:778-899
d2vzsa3,2vzs,all-b,A:675-777
d2je8a1,2je8,all-b,A:220-330
d2je8a2,2je8,all-b,A:784-864
d2je8a3,2je8,all-b,A:679-783
d2qvia2,2qvi,all-b,A:102-215
d2omzb1,2omz,all-b,B:-2-101
d2co6b1,2co6,all-b,B:5-135
d1xzwb3,1xzw,all-b,B:501-619
d2huea1,2hue,all-b,A:2-164
d2o6pa1,2o6p,all-b,A:29-150
d2o1aa1,2o1a,all-b,A:17-138
d2h3ka1,2h3k,all-b,A:1-144
d2vo8a1,2vo8,all-b,A:939-1074
d2o4ea1,2o4e,all-b,A:24-165
d1z9sb1,1z9s,all-b,B:1-149
d2j2zb1,2j2z,all-b,B:24-173
d2uy7b1,2uy7,all-b,B:8-163
d2axwa1,2axw,all-b,A:1-121
d2v2tb2,2v2t,all-b,B:39-247
d2fhfa3,2fhf,all-b,A:32-162
d2j44a1,2j44,all-b,A:110-223
d2j43a1,2j43,all-b,A:5-111
d2j73a1,2j73,all-b,A:6-107
d2qamr1,2qam,all-b,R:1-103
d3dtub1,3dtu,all-b,B:130-281
d2vm3a2,2vm3,all-b,A:160-335
d2ep6a1,2ep6,all-b,A:92-217
d2yrba1,2yrb,all-b,A:596-737
d2zkmx2,2zkm,all-b,X:678-799
d2co7b2,2co7,all-b,B:136-220
d2huha1,2huh,all-b,A:81-227
d3bnca2,3bnc,all-b,A:1-149
d3c7nb1,3c7n,all-b,B:390-543
d1wpxb1,1wpx,all-b,B:501-719
d2qqia1,2qqi,all-b,A:431-586
d2bbaa1,2bba,all-b,A:17-196
d2je8a4,2je8,all-b,A:28-219
d2vzsa4,2vzs,all-b,A:42-225
d2o14a1,2o14,all-b,A:14-159
d2vmha1,2vmh,all-b,A:906-1050
d2vnga1,2vng,all-b,A:39-209
d2jdha1,2jdh,all-b,A:1-114
d2fe0a1,2fe0,all-b,A:1-131
d2ed6a1,2ed6,all-b,A:32-201
d2edma1,2edm,all-b,A:41-201
d2o39a1,2o39,all-b,A:129-325
d2j2ja1,2j2j,all-b,A:361-542
d2q8oa1,2q8o,all-b,A:49-173
d2qqma3,2qqm,all-b,A:156-263
d2jqia1,2jqi,all-b,A:14-164
d2phra1,2phr,all-b,A:1-241
d2iwgb1,2iwg,all-b,B:4-182
d2jzaa1,2jza,all-b,A:1-122
d3c0da1,3c0d,all-b,A:4-111
d2jnya1,2jny,all-b,A:1-59
d2ox7a1,2ox7,all-b,A:3-145
d2i2la1,2i2l,all-b,A:1-134
d2p84a1,2p84,all-b,A:3-135
d1qw1a1,1qw1,all-b,A:130-226
d2gcxa1,2gcx,all-b,A:1-75
d1wlpb2,1wlp,all-b,B:149-214
d1u5sa1,1u5s,all-b,A:1-71
d2qqra2,2qqr,all-b,A:956-1011
d2nlua1,2nlu,all-b,A:1-100
d2jnga1,2jng,all-b,A:5-80
d2zcfb1,2zcf,all-b,B:1-212
d2qamu1,2qam,all-b,U:1-102
d2zjrr1,2zjr,all-b,R:4-113
d2j01d1,2j01,all-b,D:127-273
d2j01t1,2j01,all-b,T:1-138
d2joya1,2joy,all-b,A:1-96
d2dk3a1,2dk3,all-b,A:8-80
d2heqa1,2heq,all-b,A:1-71
d2db9a1,2db9,all-b,A:8-143
d3cs0a1,3cs0,all-b,A:260-358
d2r3ya1,2r3y,all-b,A:255-352
d2i4sa1,2i4s,all-b,A:204-305
d2hgaa1,2hga,all-b,A:23-125
d2rb6a1,2rb6,all-b,A:25-76
d2ra2a1,2ra2,all-b,A:4-56
d2k57a1,2k57,all-b,A:2-53
d2qi2a1,2qi2,all-b,A:1-126
d2vgna1,2vgn,all-b,A:1-135
d2f5tx1,2f5t,all-b,X:247-338
d2nysa1,2nys,all-b,A:3-119
d2zjrh1,2zjr,all-b,H:1-134
d2g9hd1,2g9h,all-b,D:4-86
d2p5zx1,2p5z,all-b,X:378-468
d2j01d2,2j01,all-b,D:2-126
d2ix0a1,2ix0,all-b,A:83-172
d2ix0a3,2ix0,all-b,A:558-644
d2ix1a3,2ix1,all-b,A:1-82
d2ja9a1,2ja9,all-b,A:62-151
d2nn6g1,2nn6,all-b,G:107-194
d2r7da1,2r7d,all-b,A:404-461
d2nn6h1,2nn6,all-b,H:73-167
d2nn6i1,2nn6,all-b,I:61-185
d2z0sa1,2z0s,all-b,A:60-147
d2ba0a1,2ba0,all-b,A:53-135
d2vnud1,2vnu,all-b,D:400-494
d2vnud2,2vnu,all-b,D:911-998
d2vnud3,2vnu,all-b,D:252-399
d3bzka4,3bzk,all-b,A:637-730
d2gnra1,2gnr,all-b,A:8-144
d2vnud4,2vnu,all-b,D:495-910
d2r7da2,2r7d,all-b,A:3-403
d2ix0a4,2ix0,all-b,A:173-557
d3d31a1,3d31,all-b,A:230-348
d2k5wa1,2k5w,all-b,A:2-109
d2k5qa1,2k5q,all-b,A:2-97
d2ot2a1,2ot2,all-b,A:1-90
d3d3ra1,3d3r,all-b,A:1-76
d2z1ca1,2z1c,all-b,A:2-72
d2hd3a1,2hd3,all-b,A:1-95
d2rcfa1,2rcf,all-b,A:1-82
d2qw7a1,2qw7,all-b,A:1-96
d2oq0a1,2oq0,all-b,A:115-202
d2oq0a2,2oq0,all-b,A:12-114
d3d38h1,3d38,all-b,H:37-258
d2fdbm1,2fdb,all-b,M:34-180
d2rg9b1,2rg9,all-b,B:1-137
d2zqna1,2zqn,all-b,A:131-260
d2ihoa1,2iho,all-b,A:2-155
d3ctaa2,3cta,all-b,A:90-220
d2oyna1,2oyn,all-b,A:1-136
d2gycb1,2gyc,all-b,B:1-209
d2hvyb1,2hvy,all-b,B:1-74
d2e1ba1,2e1b,all-b,A:1-87
d2qn6a2,2qn6,all-b,A:321-415
d2vpaa1,2vpa,all-b,A:2-195
d2imla1,2iml,all-b,A:1-189
d2nr4a1,2nr4,all-b,A:19-210
d2ptfa1,2ptf,all-b,A:15-220
d2jn9a1,2jn9,all-b,A:2-97
d2p5zx2,2p5z,all-b,X:15-201
d2p5zx3,2p5z,all-b,X:202-377
d3d37a1,3d37,all-b,A:6-178
d3d37a2,3d37,all-b,A:179-347
d1wrua1,1wru,all-b,A:177-346
d1wrua2,1wru,all-b,A:3-176
d3cdda1,3cdd,all-b,A:181-348
d3cdda2,3cdd,all-b,A:2-180
d2pp6a1,2pp6,all-b,A:1-93
d2guja1,2guj,all-b,A:5-143
d3c1ka1,3c1k,all-b,A:1A-246
d2gd4b1,2gd4,all-b,B:16-249
d2vipa1,2vip,all-b,A:16-244
d2qida1,2qid,all-b,A:5-181
d2j92a1,2j92,all-b,A:7-207
d2f43a2,2f43,all-b,A:23-94
d2v00a1,2v00,all-b,A:1-330
d2pmaa1,2pma,all-b,A:26-166
d1wc2a1,1wc2,all-b,A:1-180
d2pnwa1,2pnw,all-b,A:5-369
d2ae0x1,2ae0,all-b,X:3-337
d2g5da1,2g5d,all-b,A:40-441
d2zjrs1,2zjr,all-b,S:1-175
d2jn4a1,2jn4,all-b,A:1-66
d2zkmx3,2zkm,all-b,X:11-141
d2dfka2,2dfk,all-b,A:240-401
d2elba2,2elb,all-b,A:274-374
d2j59m1,2j59,all-b,M:931-1063
d3b77a1,3b77,all-b,A:14-203
d3dcxa1,3dcx,all-b,A:9-124
d2dlba1,2dlb,all-b,A:2002-2071
d2p2ea1,2p2e,all-b,A:3-120
d2joza1,2joz,all-b,A:2-127
d2o62a1,2o62,all-b,A:133-269
d2o62a2,2o62,all-b,A:1-132
d2p12a1,2p12,all-b,A:8-172
d2ooja1,2ooj,all-b,A:2-134
d2q03a1,2q03,all-b,A:5-137
d2icha1,2ich,all-b,A:24-351
d2igva1,2igv,all-b,A:1-172
d2phcb1,2phc,all-b,B:86-217
d2p4oa1,2p4o,all-b,A:4-305
d2dyha1,2dyh,all-b,A:324-613
d1vyhc1,1vyh,all-b,C:92-408
d2ovrb2,2ovr,all-b,B:2365-2706
d3bmva3,3bmv,all-b,A:407-495
d2fhfa4,2fhf,all-b,A:966-1083
d2e45a1,2.00E+45,all-b,A:1-50
d2in5a1,2in5,all-b,A:3-200
d2h1ta1,2h1t,all-b,A:2-187
d2vdca1,2vdc,all-b,A:1203-1472
d2npoa1,2npo,all-b,A:3-197
d2cu2a1,2cu2,all-b,A:269-335
d2paea1,2pae,all-b,A:1-136
d2gm6a1,2gm6,all-b,A:11-202
d1zvfa1,1zvf,all-b,A:1-175
d2o1qa1,2o1q,all-b,A:1-144
d2oyza1,2oyz,all-b,A:2-94
d2d40a1,2d40,all-b,A:35-342
d3bu7a1,3bu7,all-b,A:19-373
d2phda1,2phd,all-b,A:17-367
d2pyta1,2pyt,all-b,A:100-227
d3bb6a1,3bb6,all-b,A:1-109
d3dl3a1,3dl3,all-b,A:5-100
d2oz6a2,2oz6,all-b,A:9-142
d2h6ba2,2h6b,all-b,A:3-147
d2yvva1,2yvv,all-b,A:7-337
d1tu2b2,1tu2,all-b,B:170-235
d2nn6g2,2nn6,all-b,G:16-106
d2nn6i2,2nn6,all-b,I:6-60
d2ba0a2,2ba0,all-b,A:2-52
d2je6i2,2je6,all-b,I:7-65
d2nn6h2,2nn6,all-b,H:25-72
d2v7qh2,2v7q,all-b,H:15-101
d2fy9a1,2fy9,all-b,A:1-54
d2nwta1,2nwt,all-b,A:1-61
d2q07a1,2q07,all-b,A:460-527
d2gmqa1,2gmq,all-b,A:12-113
d2zkda1,2zkd,all-b,A:405-613
d2nwaa1,2nwa,all-b,A:1-80
d2vdca2,2vdc,a/b,A:423-1193
d3c3ua1,3c3u,a/b,A:4-323
d2fhfa5,2fhf,a/b,A:403-965
d2vzsa5,2vzs,a/b,A:336-674
d2je8a5,2je8,a/b,A:331-678
d2vrja1,2vrj,a/b,A:3-445
d2gjxa1,2gjx,a/b,A:167-528
d2j62a2,2j62,a/b,A:179-495
d2paja2,2paj,a/b,A:70-405
d2ooda2,2ood,a/b,A:73-397
d2uz9a2,2uz9,a/b,A:76-388
d2pnka1,2pnk,a/b,A:1-423
d2imra2,2imr,a/b,A:91-398
d2p9ba2,2p9b,a/b,A:71-394
d2q09a2,2q09,a/b,A:66-366
d2qs8a2,2qs8,a/b,A:64-373
d2r8ca2,2r8c,a/b,A:58-368
d2e1da1,2e1d,a/b,A:13-331
d2p10a1,2p10,a/b,A:8-204
d2v6aa1,2v6a,a/b,A:150-475
d2q02a1,2q02,a/b,A:1-271
d3cwha1,3cwh,a/b,A:2-388
d2zkmx4,2zkm,a/b,X:312-660
d3bofa1,3bof,a/b,A:301-560
d2oosa1,2oos,a/b,A:97-424
d3cuma2,3cum,a/b,A:1-162
d1yqga2,1yqg,a/b,A:1-152
d2pv7a2,2pv7,a/b,A:92-243
d2i76a2,2i76,a/b,A:2-154
d3cpih1,3cpi,a/b,H:5-301
d2i5ia1,2i5i,a/b,A:2-262
d2ha9a1,2ha9,a/b,A:1-440
d3cc2y1,3cc2,a/b,Y:95-236
d2ioja1,2ioj,a/b,A:206-325
d1xwdc1,1xwd,a/b,C:18-259
d2dtge4,2dtg,a/b,E:4-156
d2qaml1,2qam,a/b,L:2-144
d2j01p1,2j01,a/b,P:5-150
d2q3la1,2q3l,a/b,A:1-125
d2j8xa1,2j8x,a/b,A:26-255
d2q07a2,2q07,a/b,A:244-393
d2d00a1,2d00,a/b,A:6-109
d2i4ra1,2i4r,a/b,A:4-79
d2zjrg1,2zjr,a/b,G:30-171
d2j01f1,2j01,a/b,F:1-208
d2qame1,2qam,a/b,E:1-201
d2nu7b1,2nu7,a/b,B:239-388
d2hsja1,2hsj,a/b,A:1-211
d2o14a2,2o14,a/b,A:160-367
d3bzwa1,3bzw,a/b,A:38-285
d3dc7a1,3dc7,a/b,A:18-224
d2ef1a1,2ef1,a/b,A:45-291
d1oi4a1,1oi4,a/b,A:23-192
d2gk3a1,2gk3,a/b,A:8-253
d2pg3a1,2pg3,a/b,A:1-230
d2iela1,2iel,a/b,A:2-135
d2g5gx1,2g5g,a/b,X:9-263
d2ebfx2,2ebf,a/b,X:875-1093
d3b55a1,3b55,a/b,A:40-442
d2qgma1,2qgm,a/b,A:33-445
d3bbda1,3bbd,a/b,A:2-205
d2v3ja1,2v3j,a/b,A:23-251
d2qmma1,2qmm,a/b,A:95-288
d2qwva1,2qwv,a/b,A:5-205
d2o3aa1,2o3a,a/b,A:1-167
d2r7ka1,2r7k,a/b,A:1-123
d2vapa1,2vap,a/b,A:23-231
d2hega1,2heg,a/b,A:3-212
d2o2xa1,2o2x,a/b,A:8-216
d2gmwa1,2gmw,a/b,A:24-205
d2bdua1,2bdu,a/b,A:7-297
d1y8aa1,1y8a,a/b,A:1-308
d2obba1,2obb,a/b,A:1-122
d2nrca2,2nrc,a/b,A:1-247
d2a0ua1,2a0u,a/b,A:10-383
d2r5fa1,2r5f,a/b,A:59-316
d2gnpa1,2gnp,a/b,A:56-317
d3efba1,3efb,a/b,A:11-265
d2okga1,2okg,a/b,A:89-338
d2v3wa3,2v3w,a/b,A:342-525
d2qrza1,2qrz,a/b,A:1-187
d2qn6a3,2qn6,a/b,A:2-206
d2g77b1,2g77,a/b,B:30-202
d2qy9a2,2qy9,a/b,A:285-495
d2vo1a1,2vo1,a/b,A:1-273
d2p67a1,2p67,a/b,A:1-327
d2i3ba1,2i3b,a/b,A:1-189
d3b60a1,3b60,a/b,A:329-581
d2onka1,2onk,a/b,A:1-240
d3dhwc1,3dhw,a/b,C:1-240
d2p6ra3,2p6r,a/b,A:1-202
d2p6ra4,2p6r,a/b,A:203-403
d2a5yb3,2a5y,a/b,B:109-385
d2nx2a1,2nx2,a/b,A:1-177
d2ixta1,2ixt,a/b,A:1-309
d3c10a1,3c10,a/b,A:515-900
d2r4qa1,2r4q,a/b,A:171-273
d2vl2a1,2vl2,a/b,A:0-161
d2dlxa1,2dlx,a/b,A:1-147
d2gaxa1,2gax,a/b,A:1-135
d2i9ia1,2i9i,a/b,A:51-271
d2iqia1,2iqi,a/b,A:32-209
d2okfa1,2okf,a/b,A:4-139
d2g3wa1,2g3w,a/b,A:4-182
d2ot9a1,2ot9,a/b,A:2-180
d2gw6a1,2gw6,a/b,A:2-123
d2czra1,2czr,a/b,A:1-218
d3beda1,3bed,a/b,A:1-132
d3b48a1,3b48,a/b,A:1-132
d3ct6a1,3ct6,a/b,A:1-123
d2qwla2,2qwl,a/b,A:189-384
d2qw9a1,2qw9,a/b,A:3-188
d2oana1,2oan,a/b,A:6-146
d2i7pa1,2i7p,a/b,A:157-368
d2ewsa1,2ews,a/b,A:1-267
d2i7na1,2i7n,a/b,A:236-381
d2ioca1,2ioc,a/b,A:5-234
d2d5ra1,2d5r,a/b,A:11-262
d3bzka5,3bzk,a/b,A:325-473
d3e9la1,3e9l,a/b,A:1760-2016
d1vs6o1,1vs6,a/b,O:1-117
d2vgna2,2vgn,a/b,A:136-277
d2qi2a2,2qi2,a/b,A:127-243
